hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	35	229195	71	N	PfMDR1_3	3	0	PfDHPS_2	21	6	PASS	FAIL	FALSE
ASV2	211	128633	80	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	FAIL	FALSE
ASV3	234	109509	76	N	PF3D7_1455300	2	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV4	194	96905	78	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	FAIL	FALSE
ASV5	219	85697	81	3D7	Pfs16	0	0	Pfs16	2	0	PASS	FAIL	FALSE
ASV6	166	81881	80	N	PF11_0373	1	0	PF11_0373	1	0	PASS	FAIL	FALSE
ASV7	222	75302	79	DD2	PF3D7_0612900	2	0	PF3D7_0612900	0	0	PASS	FAIL	FALSE
ASV8	176	74408	79	3D7	MSRP4	0	0	PF3D7_1018600	81	4	PASS	FAIL	FALSE
ASV9	168	68173	79	N	PF3D7_1448500	2	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV10	148	60964	80	3D7	RAMA	0	0	RAMA	1	0	PASS	FAIL	FALSE
ASV11	211	60563	61	DD2	PF3D7_0504400	1	0	PF3D7_0504400	0	0	PASS	FAIL	FALSE
ASV12	226	44499	79	N	GAMA	1	0	RhopH3	108	6	PASS	PASS	FALSE
ASV13	172	44487	40	N	PF3D7_0401900	2	0	PF3D7_0401900	2	36	PASS	FAIL	FALSE
ASV14	41	44123	76	3D7	PfDHPS_2	0	0	PfDHPS_2	1	0	PASS	FAIL	FALSE
ASV15	166	43758	80	3D7	PF3D7_0716300	0	0	PF3D7_0716300	1	0	PASS	FAIL	FALSE
ASV16	234	42620	81	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	FAIL	FALSE
ASV17	209	39071	56	N	PF3D7_0807800	3	0	PF3D7_0729700	83	10	PASS	FAIL	FALSE
ASV18	186	37715	44	N	PF3D7_0220800	1	0	PF3D7_0220800	2	0	PASS	FAIL	FALSE
ASV19	160	36918	55	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	FAIL	FALSE
ASV20	170	35845	79	DD2	PfDHFR_2	1	0	PfDHFR_2	0	0	PASS	PASS	FALSE
ASV21	190	35127	78	DD2	PF3D7_1418100	1	0	PF3D7_1418100	0	0	PASS	FAIL	FALSE
ASV22	165	34196	52	DD2	PF3D7_0806300	1	0	PF3D7_0806300	0	0	PASS	FAIL	FALSE
ASV23	152	33869	39	N	PfDHFR_1	2	0	PfDHFR_1	2	0	PASS	PASS	FALSE
ASV24	206	30483	55	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	FAIL	FALSE
ASV25	217	27895	35	N	PF3D7_1473700	2	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV26	217	27714	52	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV27	211	27610	30	3D7	PF3D7_0504400	0	0	PF3D7_0504400	1	0	PASS	PASS	FALSE
ASV28	190	27389	17	N	PF3D7_0401900	1	18	PF3D7_0401900	1	18	PASS	PASS	FALSE
ASV29	225	26050	80	3D7	PF3D7_0411900_1	0	0	PF3D7_0411900_1	1	0	PASS	FAIL	FALSE
ASV30	160	23471	21	N	PF3D7_1302900	2	0	PF3D7_1302900	2	0	PASS	FAIL	FALSE
ASV31	172	22092	16	N	PF3D7_0401900	2	0	PF3D7_0401900	2	36	PASS	PASS	FALSE
ASV32	209	21999	31	3D7	PF3D7_0807800	0	0	PF3D7_0401900	94	1	PASS	FAIL	FALSE
ASV33	176	21645	35	3D7	MSP11.H103.MSP3.7	0	0	PF3D7_0830800_1	96	1	PASS	FAIL	FALSE
ASV34	186	21029	25	DD2	PF3D7_0220800	1	0	PF3D7_0220800	0	0	PASS	PASS	FALSE
ASV35	35	19337	14	N	PfMDR1_3	1	0	PfDHPS_2	20	6	PASS	FAIL	FALSE
ASV36	163	17978	69	DD2	PF3D7_1464700	1	0	PF3D7_1464700	0	0	PASS	FAIL	FALSE
ASV37	226	16840	78	3D7	PF3D7_1408000	0	0	PF3D7_0710400	98	10	PASS	FAIL	FALSE
ASV38	190	16315	12	N	PF3D7_0401900	1	18	PF3D7_0401900	1	18	PASS	FAIL	FALSE
ASV39	145	15095	71	DD2	CS	1	0	CS	0	0	PASS	FAIL	FALSE
ASV40	169	14760	52	3D7	PF3D7_1329100	0	0	PF11_0373	72	3	PASS	FAIL	FALSE
ASV41	155	13390	79	3D7	PF3D7_0724700	0	0	PF3D7_0724700	1	0	PASS	PASS	FALSE
ASV42	218	11916	74	N	GEST	1	0	GEST	1	0	PASS	FAIL	FALSE
ASV43	154	11758	78	3D7	MAL13P1.50	0	0	PF3D7_0724700	73	1	PASS	FAIL	FALSE
ASV44	214	11227	43	DD2	PF3D7_0422500	1	0	PF3D7_0422500	0	0	PASS	FAIL	FALSE
ASV45	164	11074	56	3D7	PF3D7_1239800_1	0	0	PF3D7_1239800_1	1	0	PASS	FAIL	FALSE
ASV46	178	10418	79	3D7	Pf113	0	0	PF3D7_0830800_1	81	1	PASS	PASS	FALSE
ASV47	165	10040	29	3D7	PF3D7_0806300	0	0	PF3D7_0806300	1	0	PASS	PASS	FALSE
ASV48	169	9909	31	N	PF3D7_1329100	1	0	PF11_0373	71	3	PASS	PASS	FALSE
ASV49	160	8989	6	N	PF3D7_1302900	3	0	PF3D7_1302900	1	0	PASS	PASS	FALSE
ASV50	206	8627	23	N	PF3D7_1252100	2	0	PF3D7_1252100	1	0	PASS	FAIL	FALSE
ASV51	178	8526	77	N	PF3D7_1447900	1	0	PF3D7_1447900	2	0	PASS	FAIL	FALSE
ASV52	147	7814	75	3D7	PF3D7_1022000	0	0	RAMA	76	1	PASS	FAIL	FALSE
ASV53	196	6394	44	N	PfAMA_1	10	0	PfAMA_1	10	0	PASS	FAIL	FALSE
ASV54	214	6379	38	3D7	PF3D7_0422500	0	0	PF3D7_0422500	1	0	PASS	PASS	FALSE
ASV55	208	6180	79	3D7	MSRP3	0	0	PfMDR1_1	91	4	PASS	PASS	FALSE
ASV56	199	5680	80	3D7	PF3D7_0729700	0	0	PF3D7_0729700	4	0	PASS	PASS	FALSE
ASV57	73	5232	76	N	PfMDR1_2	1	0	PfDHPS_2	16	32	PASS	FAIL	FALSE
ASV58	199	5189	74	3D7	PF3D7_1233600	0	0	PfAMA_1	102	5	PASS	FAIL	FALSE
ASV59	196	3944	38	3D7	PfAMA_1	0	0	PfAMA_1	6	0	PASS	PASS	FALSE
ASV60	234	3897	5	N	PF3D7_1455300	2	0	PF3D7_1455300	1	0	PASS	FAIL	FALSE
ASV61	218	3837	34	N	PF3D7_1007900	1	0	PF3D7_0830800_2	95	4	PASS	PASS	FALSE
ASV62	89	3746	72	N	PfMDR1_4	1	0	PfDHPS_2	19	48	PASS	FAIL	FALSE
ASV63	179	3237	43	N	PF3D7_0104100_1	2	0	PF3D7_1447900	92	1	PASS	FAIL	FALSE
ASV64	177	3184	73	N	PF3D7_1018600	0	6	PF3D7_1018600	0	3	PASS	PASS	FALSE
ASV65	160	3003	8	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	FAIL	TRUE
ASV66	179	2986	28	N	PF3D7_0104100_1	3	0	PF3D7_1447900	92	1	PASS	FAIL	FALSE
ASV67	188	2926	68	N	KELT	1	0	KELT	3	0	PASS	PASS	FALSE
ASV68	218	2798	67	DD2	PF3D7_0710400	2	0	PF3D7_0710400	0	0	PASS	FAIL	FALSE
ASV69	218	2768	44	3D7	PF3D7_1007900	0	0	PF3D7_0422500	99	4	PASS	PASS	FALSE
ASV70	186	2554	41	N	PF3D7_1346400	2	0	PF3D7_1346400	1	0	PASS	FAIL	FALSE
ASV71	226	2525	69	N	PfDHPS_1	2	0	PfDHPS_1	3	0	PASS	FAIL	FALSE
ASV72	218	2508	6	DD2	GEST	2	0	GEST	0	0	PASS	PASS	FALSE
ASV73	230	2267	56	N	PF3D7_1110200	4	0	PF3D7_1469600	105	5	PASS	PASS	FALSE
ASV74	163	2018	10	3D7	PF3D7_1464700	0	0	PF3D7_1464700	1	0	PASS	FAIL	FALSE
ASV75	160	1945	11	N	PF3D7_1302900	4	0	PF3D7_1302900	4	0	PASS	PASS	TRUE
ASV76	164	1820	14	DD2	PF3D7_1239800_1	1	0	PF3D7_1239800_1	0	0	PASS	PASS	FALSE
ASV77	186	1747	16	3D7	PF3D7_0220800	0	0	PF3D7_0220800	1	0	PASS	FAIL	FALSE
ASV78	208	1654	71	3D7	PfMDR1_1	0	0	PfMDR1_1	2	0	PASS	FAIL	FALSE
ASV79	220	1612	1	N	Pfs16	0	1	Pfs16	2	1	PASS	PASS	FALSE
ASV80	186	1611	32	3D7	PF3D7_1346400	0	0	PF3D7_1346400	1	0	PASS	FAIL	FALSE
ASV81	175	1401	57	3D7	PF3D7_1126100_2	0	0	PF3D7_1126100_2	1	0	PASS	PASS	FALSE
ASV82	210	1357	69	N	PF3D7_1224000	1	0	PF3D7_0504400	99	3	PASS	FAIL	FALSE
ASV83	192	1338	47	N	PF3D7_1129100	1	0	PF3D7_1129100	1	0	PASS	PASS	FALSE
ASV84	160	1332	3	N	PF3D7_1302900	4	0	PF3D7_1302900	2	0	PASS	FAIL	TRUE
ASV85	194	1216	20	N	PF3D7_0910000	1	0	PF3D7_0910000	2	0	PASS	FAIL	TRUE
ASV86	230	1201	18	3D7	PF3D7_1110200	0	0	PF3D7_1469600	106	5	PASS	FAIL	FALSE
ASV87	154	1194	55	N	PF3D7_1034900_1	2	0	PF3D7_1034900_1	1	0	PASS	FAIL	FALSE
ASV88	159	1074	65	3D7	PF3D7_0905600	0	0	PF3D7_1302900	74	1	PASS	PASS	FALSE
ASV89	220	1040	53	N	RhopH3	2	0	RhopH3	1	0	PASS	FAIL	FALSE
ASV90	190	1039	2	N	PF3D7_0401900	0	18	PF3D7_0401900	0	18	PASS	FAIL	FALSE
ASV91	192	933	17	DD2	PF3D7_1129100	0	0	PF3D7_1129100	0	0	PASS	PASS	FALSE
ASV92	156	802	39	3D7	GRP94	0	0	PF3D7_1464700	70	7	PASS	FAIL	FALSE
ASV93	216	777	45	N	PF3D7_1125700	1	0	PF3D7_1125700	0	4	PASS	FAIL	FALSE
ASV94	214	691	42	3D7	ASP	0	0	PF3D7_1473700	100	3	PASS	PASS	FALSE
ASV95	188	683	6	N	KELT	1	0	KELT	1	0	PASS	FAIL	FALSE
ASV96	177	585	42	3D7	PF3D7_0830800_1	0	0	PF3D7_0830800_1	1	0	PASS	PASS	FALSE
ASV97	206	512	1	DD2	PF3D7_1252100	1	0	PF3D7_1252100	0	0	PASS	FAIL	FALSE
ASV98	179	363	6	3D7	PF3D7_0104100_1	0	0	PF3D7_1447900	93	1	PASS	FAIL	FALSE
ASV99	190	361	7	N	PF3D7_0401900	2	18	PF3D7_0401900	2	18	PASS	PASS	FALSE
ASV100	211	356	1	N	PF3D7_0419900_2	1	0	SPECT	100	3	PASS	FAIL	FALSE
ASV101	166	316	1	3D7	PF11_0373	0	0	PF11_0373	2	0	PASS	FAIL	FALSE
ASV102	226	286	29	DD2	PF3D7_1148700_1	3	0	PF3D7_1148700_1	0	0	PASS	FAIL	FALSE
ASV103	228	284	17	3D7	SURFIN	0	0	SURFIN	1	0	PASS	PASS	FALSE
ASV104	218	257	8	3D7	PF3D7_0710400	0	0	PF3D7_0710400	2	0	PASS	PASS	FALSE
ASV105	194	223	1	N	PF3D7_0910000	1	0	PF3D7_0910000	2	0	PASS	FAIL	FALSE
ASV106	228	222	17	N	SURFIN	6	0	SURFIN	5	0	PASS	FAIL	FALSE
ASV107	154	217	4	DD2	PF3D7_1034900_1	1	0	PF3D7_1034900_1	0	0	PASS	FAIL	FALSE
ASV108	234	217	1	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	FAIL	FALSE
ASV109	203	215	27	DD2	PF3D7_1466200	2	0	PF3D7_1466200	0	0	PASS	FAIL	FALSE
ASV110	161	210	29	3D7	PF3D7_0212800	0	0	PF3D7_0212800	1	0	PASS	FAIL	FALSE
ASV111	168	167	1	3D7	PF3D7_1448500	0	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV112	194	162	1	N	PF3D7_0910000	1	0	PF3D7_0910000	2	0	PASS	FAIL	FALSE
ASV113	203	151	16	3D7	PF3D7_1466200	0	0	PF3D7_1466200	2	0	PASS	PASS	FALSE
ASV114	35	151	1	3D7	PfMDR1_3	0	0	PfDHPS_2	20	6	PASS	FAIL	FALSE
ASV115	192	150	7	N	PF3D7_1129100	1	0	PF3D7_1129100	1	0	PASS	FAIL	FALSE
ASV116	226	137	1	N	GAMA	2	0	RhopH3	108	6	PASS	FAIL	FALSE
ASV117	216	127	9	3D7	PF3D7_1125700	0	0	PF3D7_1125700	0	4	PASS	PASS	FALSE
ASV118	172	117	1	N	PF3D7_0401900	3	0	PF3D7_0401900	3	36	PASS	FAIL	TRUE
ASV119	220	98	16	N	PF3D7_0830800_2	2	0	PF3D7_0830800_2	1	0	PASS	FAIL	FALSE
ASV120	160	96	1	N	PF3D7_1302900	2	0	PF3D7_1302900	2	0	PASS	FAIL	FALSE
